person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income,risk_tier,high_risk_flag,income_bracket,monthly_burden
23,60626,RENT,4.0,EDUCATION,A,8625,7.9,0,0.14,N,4,0.1423,1,0,High,269.88
22,69000,RENT,5.0,MEDICAL,B,8650,11.49,0,0.13,N,3,0.1254,2,0,High,285.2
25,42000,RENT,7.0,EDUCATION,D,8675,15.99,0,0.21,Y,2,0.2065,4,1,Medium,304.94
23,28000,RENT,0.0,EDUCATION,A,8700,6.03,1,0.31,N,2,0.3107,1,0,Low,264.79
23,64000,MORTGAGE,7.0,EDUCATION,A,2100,6.03,0,0.03,N,2,0.0328,1,0,High,63.91
24,64000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5200,7.9,0,0.08,N,3,0.0812,1,0,High,162.71
25,64000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,9000,5.99,0,0.14,N,2,0.1406,1,0,High,273.76
22,64000,MORTGAGE,5.0,VENTURE,B,6000,10.99,0,0.09,N,3,0.0938,2,0,High,196.4
23,64000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,8000,10.99,0,0.13,N,2,0.125,2,0,High,261.87
22,64000,OWN,6.0,EDUCATION,D,15000,17.49,0,0.23,Y,4,0.2344,4,1,High,538.46
22,64000,MORTGAGE,3.0,PERSONAL,A,9600,8.49,0,0.15,N,3,0.15,1,0,High,303.0
24,29004,RENT,5.0,MEDICAL,B,8725,12.18,0,0.3,N,2,0.3008,2,0,Low,290.55
24,64000,MORTGAGE,8.0,VENTURE,B,4000,10.0,0,0.06,N,2,0.0625,2,0,High,129.07
23,64000,MORTGAGE,4.0,VENTURE,A,5550,7.29,0,0.09,N,4,0.0867,1,0,High,172.1
21,64000,OWN,5.0,MEDICAL,A,10000,7.66,0,0.16,N,3,0.1562,1,0,High,311.8
25,150000,RENT,2.0,HOMEIMPROVEMENT,A,8750,7.74,0,0.06,N,4,0.0583,1,0,Very High,273.14
24,64000,MORTGAGE,3.0,MEDICAL,B,13225,10.37,0,0.21,N,3,0.2066,2,0,High,429.03
25,64000,MORTGAGE,10.0,MEDICAL,A,5000,7.29,0,0.08,N,2,0.0781,1,0,High,155.05
24,64000,MORTGAGE,8.0,VENTURE,B,1200,10.74,0,0.02,N,4,0.0188,2,0,High,39.14
22,64000,MORTGAGE,6.0,MEDICAL,B,7000,10.38,0,0.11,N,4,0.1094,2,0,High,227.12
26,64000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,15000,10.38,0,0.23,N,3,0.2344,2,0,High,486.69
22,46104,RENT,4.0,EDUCATION,A,8775,7.29,0,0.19,N,2,0.1903,1,0,Medium,272.11
22,64000,MORTGAGE,6.0,VENTURE,C,15000,13.23,0,0.23,Y,3,0.2344,3,0,High,507.07
22,64000,MORTGAGE,4.0,PERSONAL,C,14000,13.23,0,0.22,Y,3,0.2188,3,0,High,473.27
23,18500,RENT,2.0,VENTURE,C,9000,11.34,1,0.49,Y,3,0.4865,3,0,Low,296.1
23,64000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,5500,7.14,0,0.09,N,3,0.0859,1,0,High,170.18
21,20000,RENT,2.0,MEDICAL,A,9000,7.51,1,0.45,N,4,0.45,1,0,Low,280.0
22,21600,RENT,1.0,VENTURE,B,9000,9.83,1,0.42,N,4,0.4167,2,0,Low,289.69
25,25000,RENT,5.0,MEDICAL,B,9000,11.49,1,0.36,N,2,0.36,2,0,Low,296.74
22,64000,MORTGAGE,2.0,EDUCATION,B,25000,11.83,0,0.39,N,4,0.3906,2,0,High,828.33
24,64000,MORTGAGE,0.0,EDUCATION,A,12000,8.59,0,0.19,N,3,0.1875,1,0,High,379.31
24,25000,RENT,2.0,MEDICAL,B,9000,11.48,1,0.36,N,2,0.36,2,0,Low,296.7
22,25600,RENT,5.0,VENTURE,A,9000,8.9,1,0.35,N,4,0.3516,1,0,Low,285.78
22,25920,RENT,1.0,MEDICAL,C,9000,10.59,1,0.35,N,2,0.3472,3,0,Low,292.9
22,26000,RENT,0.0,DEBTCONSOLIDATION,C,9000,12.73,1,0.35,N,4,0.3462,3,0,Low,302.08
26,64000,MORTGAGE,2.0,PERSONAL,D,8000,14.96,0,0.13,Y,2,0.125,4,1,High,277.17
24,26400,RENT,3.0,HOMEIMPROVEMENT,B,9000,11.49,1,0.34,N,3,0.3409,2,0,Low,296.74
24,64000,MORTGAGE,8.0,VENTURE,B,4800,12.21,0,0.07,N,4,0.075,2,0,High,159.91
22,64000,MORTGAGE,5.0,MEDICAL,A,2000,9.32,0,0.03,N,4,0.0312,1,0,High,63.9
21,26785,RENT,6.0,MEDICAL,A,9000,7.9,1,0.34,N,4,0.336,1,0,Low,281.61
26,58000,MORTGAGE,1.0,MEDICAL,D,25000,13.55,1,0.43,Y,4,0.431,4,1,Medium,848.99
23,58000,MORTGAGE,7.0,MEDICAL,C,7200,11.97,1,0.12,N,3,0.1241,3,0,Medium,239.04
23,26976,RENT,4.0,PERSONAL,A,9000,7.51,1,0.33,N,4,0.3336,1,0,Low,280.0
23,27600,RENT,3.0,VENTURE,C,9000,13.98,1,0.33,Y,3,0.3261,3,0,Low,307.51
22,28800,RENT,5.0,MEDICAL,B,9000,10.99,1,0.31,N,2,0.3125,2,0,Low,294.61
22,30000,RENT,0.0,HOMEIMPROVEMENT,C,9000,13.49,1,0.3,Y,4,0.3,3,0,Low,305.37
25,30000,RENT,9.0,DEBTCONSOLIDATION,D,9000,17.58,1,0.3,Y,4,0.3,4,1,Low,323.48
21,30000,RENT,5.0,MEDICAL,C,9000,12.99,0,0.3,Y,2,0.3,3,0,Low,303.2
26,30000,RENT,8.0,EDUCATION,A,9000,5.99,1,0.3,N,2,0.3,1,0,Low,273.76
26,64212,MORTGAGE,5.0,PERSONAL,C,9600,14.27,0,0.15,Y,2,0.1495,3,0,High,329.37
22,64260,MORTGAGE,6.0,PERSONAL,C,9200,13.43,0,0.14,Y,3,0.1432,3,0,High,311.89
26,64260,MORTGAGE,3.0,MEDICAL,A,4500,8.94,0,0.07,N,2,0.07,1,0,High,142.97
22,64312,MORTGAGE,4.0,VENTURE,D,5000,14.91,0,0.08,Y,4,0.0777,4,1,High,173.11
23,30000,RENT,2.0,MEDICAL,D,9000,14.61,1,0.3,Y,4,0.3,4,1,Low,310.27
24,31200,RENT,7.0,PERSONAL,B,9000,10.38,0,0.29,N,4,0.2885,2,0,Medium,292.01
23,64500,MORTGAGE,6.0,MEDICAL,B,7000,10.99,0,0.11,N,2,0.1085,2,0,High,229.14
24,64500,MORTGAGE,8.0,EDUCATION,C,1200,14.72,0,0.02,N,2,0.0186,3,0,High,41.43
25,64500,OWN,4.0,PERSONAL,C,12000,13.48,0,0.19,Y,4,0.186,3,0,High,407.11
23,64500,MORTGAGE,8.0,EDUCATION,B,10000,12.18,0,0.16,N,4,0.155,2,0,High,333.0
21,64500,MORTGAGE,2.0,EDUCATION,B,15000,11.83,0,0.23,N,2,0.2326,2,0,High,497.0
21,33000,RENT,5.0,EDUCATION,B,9000,12.69,0,0.27,N,3,0.2727,2,0,Medium,301.9
22,33000,RENT,6.0,EDUCATION,B,9000,11.99,0,0.27,N,4,0.2727,2,0,Medium,298.89
25,33000,RENT,3.0,PERSONAL,A,9000,5.79,0,0.27,N,3,0.2727,1,0,Medium,272.94
25,33000,RENT,5.0,MEDICAL,A,9000,7.14,0,0.27,N,2,0.2727,1,0,Medium,278.47
21,33600,RENT,5.0,PERSONAL,B,9000,11.86,1,0.27,N,4,0.2679,2,0,Medium,298.33
24,34000,RENT,0.0,DEBTCONSOLIDATION,B,9000,11.83,0,0.26,N,4,0.2647,2,0,Medium,298.2
24,64656,MORTGAGE,8.0,EDUCATION,B,14500,10.99,0,0.22,N,4,0.2243,2,0,High,474.64
24,34000,RENT,2.0,DEBTCONSOLIDATION,C,9000,13.16,0,0.26,N,3,0.2647,3,0,Medium,303.94
26,34320,RENT,2.0,EDUCATION,A,9000,6.62,1,0.26,N,2,0.2622,1,0,Medium,276.33
23,29000,RENT,2.0,EDUCATION,B,9000,11.71,1,0.31,N,2,0.3103,2,0,Low,297.68
25,64800,MORTGAGE,9.0,EDUCATION,B,4500,10.65,0,0.07,N,2,0.0694,2,0,High,146.58
21,35000,RENT,5.0,MEDICAL,A,9000,8.94,0,0.26,N,3,0.2571,1,0,Medium,285.95
26,64800,MORTGAGE,5.0,MEDICAL,B,2000,11.99,0,0.03,N,4,0.0309,2,0,High,66.42
23,64800,MORTGAGE,7.0,PERSONAL,C,4000,13.99,0,0.06,Y,2,0.0617,3,0,High,136.69
23,36000,RENT,3.0,EDUCATION,B,9000,9.99,0,0.25,N,2,0.25,2,0,Medium,290.36
24,64800,MORTGAGE,5.0,VENTURE,A,11000,5.79,0,0.17,N,3,0.1698,1,0,High,333.6
23,64800,MORTGAGE,7.0,DEBTCONSOLIDATION,C,2400,13.23,0,0.04,N,2,0.037,3,0,High,81.13
24,30000,RENT,0.0,EDUCATION,D,9000,15.58,1,0.3,N,3,0.3,4,1,Low,314.55
26,64956,MORTGAGE,0.0,DEBTCONSOLIDATION,C,7500,13.47,0,0.12,Y,3,0.1155,3,0,High,254.41
26,64992,MORTGAGE,1.0,DEBTCONSOLIDATION,A,4000,9.63,0,0.06,N,4,0.0615,1,0,High,128.38
26,64999,MORTGAGE,11.0,VENTURE,B,15000,10.99,0,0.23,N,2,0.2308,2,0,High,491.01
26,64999,OWN,5.0,VENTURE,C,10000,13.98,0,0.15,Y,3,0.1538,3,0,High,341.68
22,64999,MORTGAGE,6.0,VENTURE,D,2500,14.61,0,0.04,N,2,0.0385,4,1,High,86.19
26,65000,MORTGAGE,9.0,PERSONAL,D,3000,18.25,0,0.05,Y,4,0.0462,4,1,High,108.83
26,30000,RENT,0.0,DEBTCONSOLIDATION,D,9000,15.65,1,0.3,Y,4,0.3,4,1,Low,314.86
23,36000,RENT,6.0,VENTURE,C,9000,10.78,0,0.25,Y,4,0.25,3,0,Medium,293.71
23,65000,MORTGAGE,7.0,EDUCATION,A,10500,6.03,0,0.16,N,4,0.1615,1,0,High,319.57
21,36120,RENT,5.0,VENTURE,B,9000,10.39,0,0.25,N,2,0.2492,2,0,Medium,292.06
25,59000,MORTGAGE,4.0,PERSONAL,D,3000,16.29,1,0.05,Y,3,0.0508,4,1,Medium,105.9
24,37000,RENT,5.0,VENTURE,A,9000,7.14,0,0.24,N,2,0.2432,1,0,Medium,278.47
26,65000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,10000,6.62,0,0.15,N,3,0.1538,1,0,High,307.04
22,37500,RENT,0.0,MEDICAL,B,9000,9.63,0,0.24,N,4,0.24,2,0,Medium,288.84
24,65000,MORTGAGE,2.0,VENTURE,B,12000,12.69,0,0.18,N,4,0.1846,2,0,High,402.54
23,65000,MORTGAGE,0.0,EDUCATION,A,8200,6.62,0,0.13,N,4,0.1262,1,0,High,251.77
25,65000,MORTGAGE,0.0,VENTURE,A,12000,7.9,0,0.18,N,4,0.1846,1,0,High,375.48
23,65000,OWN,6.0,PERSONAL,B,6000,10.65,0,0.09,N,2,0.0923,2,0,High,195.44
23,65000,MORTGAGE,0.0,MEDICAL,A,10200,7.9,0,0.16,N,3,0.1569,1,0,High,319.16
24,38400,RENT,6.0,DEBTCONSOLIDATION,A,9000,7.9,0,0.23,N,2,0.2344,1,0,Medium,281.61
22,38500,RENT,1.0,MEDICAL,B,9000,10.83,0,0.23,N,2,0.2338,2,0,Medium,293.92
23,39600,RENT,7.0,PERSONAL,B,9000,11.99,0,0.23,N,3,0.2273,2,0,Medium,298.89
24,33996,RENT,1.0,EDUCATION,E,9000,16.0,1,0.26,Y,2,0.2647,5,1,Medium,316.41
26,65000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,17000,9.91,0,0.26,N,2,0.2615,2,0,High,547.82
24,40000,RENT,1.0,VENTURE,B,9000,11.99,0,0.23,N,4,0.225,2,0,Medium,298.89
22,40000,RENT,2.0,EDUCATION,B,9000,10.59,0,0.23,N,4,0.225,2,0,Medium,292.9
24,65000,MORTGAGE,3.0,PERSONAL,B,12000,9.91,0,0.18,N,3,0.1846,2,0,High,386.7
23,40000,RENT,4.0,VENTURE,A,9000,7.49,0,0.23,N,3,0.225,1,0,Medium,279.91
23,40000,RENT,1.0,EDUCATION,C,9000,12.61,0,0.23,Y,2,0.225,3,0,Medium,301.56
23,34000,RENT,5.0,MEDICAL,E,9000,17.06,1,0.26,Y,4,0.2647,5,1,Medium,321.14
24,65000,MORTGAGE,8.0,PERSONAL,B,6300,11.71,0,0.1,N,2,0.0969,2,0,High,208.38
22,65000,MORTGAGE,0.0,PERSONAL,A,7200,8.9,0,0.11,N,2,0.1108,1,0,High,228.62
25,40000,RENT,1.0,PERSONAL,C,9000,12.53,0,0.23,N,2,0.225,3,0,Medium,301.21
26,65000,MORTGAGE,11.0,VENTURE,A,12000,7.9,0,0.18,N,2,0.1846,1,0,High,375.48
23,65000,MORTGAGE,0.0,PERSONAL,A,12000,7.9,0,0.18,N,3,0.1846,1,0,High,375.48
24,65000,MORTGAGE,3.0,EDUCATION,A,6000,6.03,0,0.09,N,3,0.0923,1,0,High,182.61
23,35500,RENT,2.0,HOMEIMPROVEMENT,D,9000,15.99,1,0.25,Y,2,0.2535,4,1,Medium,316.37
24,65000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,6600,10.65,0,0.1,N,2,0.1015,2,0,High,214.98
24,65000,MORTGAGE,8.0,VENTURE,D,7200,17.58,0,0.11,Y,4,0.1108,4,1,High,258.78
25,59000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,5000,6.03,1,0.08,N,2,0.0847,1,0,Medium,152.18
26,65000,MORTGAGE,10.0,EDUCATION,A,5000,7.51,0,0.08,N,2,0.0769,1,0,High,155.55
21,65000,MORTGAGE,5.0,VENTURE,A,10000,6.03,0,0.15,N,3,0.1538,1,0,High,304.36
23,42000,RENT,7.0,VENTURE,A,9000,8.49,0,0.21,N,4,0.2143,1,0,Medium,284.07
24,65000,MORTGAGE,2.0,PERSONAL,B,8000,12.69,0,0.12,N,2,0.1231,2,0,High,268.36
21,65000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,2200,12.42,0,0.03,N,3,0.0338,2,0,High,73.51
23,42000,RENT,3.0,DEBTCONSOLIDATION,A,9000,7.51,0,0.21,N,4,0.2143,1,0,Medium,280.0
23,65000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7425,6.03,0,0.11,N,4,0.1142,1,0,High,225.98
21,36140,RENT,5.0,EDUCATION,A,9000,8.94,1,0.25,N,2,0.249,1,0,Medium,285.95
26,42600,RENT,3.0,PERSONAL,D,9000,14.96,0,0.21,N,2,0.2113,4,1,Medium,311.81
25,42900,RENT,9.0,MEDICAL,A,9000,6.76,0,0.21,N,4,0.2098,1,0,Medium,276.91
24,65000,MORTGAGE,9.0,PERSONAL,C,4200,15.27,0,0.06,N,2,0.0646,3,0,High,146.15
26,65000,MORTGAGE,2.0,VENTURE,D,8000,17.27,0,0.12,Y,3,0.1231,4,1,High,286.3
26,43000,RENT,0.0,PERSONAL,C,9000,13.85,0,0.21,Y,4,0.2093,3,0,Medium,306.94
22,43200,RENT,4.0,EDUCATION,D,9000,14.54,0,0.21,Y,4,0.2083,4,1,Medium,309.96
23,65000,MORTGAGE,3.0,MEDICAL,A,7000,7.9,0,0.11,N,4,0.1077,1,0,High,219.03
23,43200,RENT,0.0,EDUCATION,A,9000,6.17,0,0.21,N,3,0.2083,1,0,Medium,274.49
24,65000,MORTGAGE,8.0,PERSONAL,A,3300,7.51,0,0.05,N,4,0.0508,1,0,High,102.67
26,44000,RENT,4.0,DEBTCONSOLIDATION,B,9000,10.99,0,0.2,N,2,0.2045,2,0,Medium,294.61
25,44000,RENT,9.0,MEDICAL,A,9000,7.29,0,0.2,N,3,0.2045,1,0,Medium,279.09
25,44000,RENT,0.0,MEDICAL,A,9000,8.94,0,0.2,N,3,0.2045,1,0,Medium,285.95
25,44640,RENT,4.0,PERSONAL,B,9000,10.65,0,0.2,N,4,0.2016,2,0,Medium,293.16
23,45000,RENT,7.0,EDUCATION,B,9000,10.65,0,0.2,N,2,0.2,2,0,Medium,293.16
25,65000,MORTGAGE,3.0,EDUCATION,C,10000,12.99,0,0.15,N,2,0.1538,3,0,High,336.89
22,45000,RENT,7.0,PERSONAL,A,9000,7.9,0,0.2,N,3,0.2,1,0,Medium,281.61
23,45000,RENT,4.0,EDUCATION,A,9000,5.99,0,0.2,N,3,0.2,1,0,Medium,273.76
21,45000,RENT,3.0,MEDICAL,A,9000,8.49,0,0.2,N,3,0.2,1,0,Medium,284.07
22,45000,RENT,0.0,EDUCATION,C,9000,14.26,0,0.2,Y,3,0.2,3,0,Medium,308.74
22,65000,MORTGAGE,6.0,EDUCATION,A,12800,5.99,0,0.2,N,4,0.1969,1,0,High,389.34
23,65000,MORTGAGE,1.0,VENTURE,A,7000,8.49,0,0.11,N,4,0.1077,1,0,High,220.94
26,65000,OWN,1.0,HOMEIMPROVEMENT,C,4800,13.49,0,0.07,Y,2,0.0738,3,0,High,162.87
22,45000,RENT,0.0,EDUCATION,B,9000,11.48,0,0.2,N,4,0.2,2,0,Medium,296.7
26,59000,MORTGAGE,5.0,MEDICAL,D,8000,15.99,1,0.14,Y,2,0.1356,4,1,Medium,281.22
26,45000,RENT,0.0,DEBTCONSOLIDATION,B,9000,10.39,0,0.2,N,2,0.2,2,0,Medium,292.06
22,45004,RENT,1.0,PERSONAL,C,9000,14.35,0,0.2,Y,4,0.2,3,0,Medium,309.13
26,65000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5000,5.42,0,0.08,N,4,0.0769,1,0,High,150.8
25,39512,RENT,3.0,VENTURE,C,9000,15.23,1,0.23,N,4,0.2278,3,0,Medium,313.0
23,65000,MORTGAGE,5.0,EDUCATION,B,4000,11.49,0,0.06,N,4,0.0615,2,0,High,131.89
24,65000,OWN,6.0,PERSONAL,D,4400,16.89,0,0.07,N,2,0.0677,4,1,High,156.63
23,65000,MORTGAGE,5.0,VENTURE,A,16500,7.49,0,0.25,N,3,0.2538,1,0,High,513.18
23,65000,MORTGAGE,8.0,VENTURE,A,3600,7.49,0,0.06,N,3,0.0554,1,0,High,111.97
24,45888,RENT,5.0,MEDICAL,A,9000,5.79,0,0.2,N,3,0.1961,1,0,Medium,272.94
26,46000,RENT,4.0,PERSONAL,A,9000,7.14,0,0.2,N,3,0.1957,1,0,Medium,278.47
24,46000,RENT,4.0,PERSONAL,C,9000,13.22,0,0.2,N,3,0.1957,3,0,Medium,304.2
23,46200,RENT,5.0,PERSONAL,B,9000,9.99,0,0.19,N,3,0.1948,2,0,Medium,290.36
24,46704,RENT,2.0,EDUCATION,B,9000,11.49,0,0.19,N,4,0.1927,2,0,Medium,296.74
25,47000,RENT,1.0,DEBTCONSOLIDATION,A,9000,7.51,0,0.19,N,3,0.1915,1,0,Medium,280.0
22,47840,RENT,0.0,EDUCATION,C,9000,12.53,0,0.19,N,4,0.1881,3,0,Medium,301.21
23,65000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,18000,9.99,0,0.28,N,4,0.2769,2,0,High,580.72
22,48000,RENT,2.0,DEBTCONSOLIDATION,A,9000,7.88,0,0.19,N,2,0.1875,1,0,Medium,281.53
22,65000,OWN,6.0,VENTURE,B,7000,11.49,0,0.11,N,4,0.1077,2,0,High,230.8
26,65000,MORTGAGE,9.0,EDUCATION,A,20500,6.99,0,0.32,N,2,0.3154,1,0,High,632.89
26,48000,RENT,7.0,PERSONAL,A,9000,8.94,0,0.19,N,3,0.1875,1,0,Medium,285.95
25,48000,RENT,3.0,PERSONAL,C,9000,13.79,0,0.19,Y,2,0.1875,3,0,Medium,306.68
22,49500,RENT,0.0,PERSONAL,C,9000,14.35,0,0.18,Y,4,0.1818,3,0,Medium,309.13
24,65000,MORTGAGE,5.0,EDUCATION,B,9600,11.99,0,0.15,N,3,0.1477,2,0,High,318.81
25,50000,RENT,5.0,DEBTCONSOLIDATION,B,9000,12.69,0,0.18,N,3,0.18,2,0,Medium,301.9
25,65000,MORTGAGE,1.0,PERSONAL,A,12000,7.49,0,0.18,N,4,0.1846,1,0,High,373.22
24,65000,MORTGAGE,1.0,PERSONAL,B,6000,10.99,0,0.09,N,2,0.0923,2,0,High,196.4
26,65000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,6.99,0,0.12,N,3,0.1231,1,0,High,246.98
20,65000,MORTGAGE,4.0,EDUCATION,B,4800,9.99,0,0.07,N,2,0.0738,2,0,High,154.86
23,50000,RENT,7.0,PERSONAL,B,9000,12.18,0,0.18,N,4,0.18,2,0,Medium,299.7
26,50004,RENT,0.0,EDUCATION,A,9000,6.17,0,0.18,N,4,0.18,1,0,Medium,274.49
26,50200,RENT,1.0,HOMEIMPROVEMENT,A,9000,7.66,0,0.18,N,3,0.1793,1,0,Medium,280.62
26,50760,RENT,3.0,DEBTCONSOLIDATION,A,9000,8.94,0,0.18,N,2,0.1773,1,0,Medium,285.95
24,65000,MORTGAGE,0.0,EDUCATION,A,14000,8.49,0,0.22,N,3,0.2154,1,0,High,441.88
25,65000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,1200,10.99,0,0.02,N,2,0.0185,2,0,High,39.28
24,65000,MORTGAGE,0.0,MEDICAL,B,8000,10.99,0,0.12,N,3,0.1231,2,0,High,261.87
23,51000,RENT,2.0,EDUCATION,B,9000,10.99,0,0.18,N,2,0.1765,2,0,Medium,294.61
24,51000,RENT,3.0,MEDICAL,A,9000,5.79,0,0.18,N,3,0.1765,1,0,Medium,272.94
22,51000,RENT,4.0,EDUCATION,D,9000,15.33,0,0.18,N,4,0.1765,4,1,Medium,313.44
23,65000,MORTGAGE,0.0,EDUCATION,C,8500,15.23,0,0.13,Y,3,0.1308,3,0,High,295.61
26,51400,RENT,4.0,DEBTCONSOLIDATION,C,9000,13.61,0,0.18,N,2,0.1751,3,0,Medium,305.9
23,65000,MORTGAGE,7.0,MEDICAL,A,7000,6.99,0,0.11,N,4,0.1077,1,0,High,216.11
26,65000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,12000,10.99,0,0.18,N,4,0.1846,2,0,High,392.81
26,51840,RENT,9.0,EDUCATION,A,9000,8.0,0,0.17,N,4,0.1736,1,0,Medium,282.03
23,52000,RENT,0.0,VENTURE,B,9000,12.69,0,0.17,N,2,0.1731,2,0,Medium,301.9
24,65000,MORTGAGE,3.0,EDUCATION,A,8000,5.99,0,0.12,N,2,0.1231,1,0,High,243.34
22,52000,RENT,0.0,MEDICAL,B,9000,10.65,0,0.17,N,3,0.1731,2,0,Medium,293.16
22,65000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,8000,6.99,0,0.12,N,3,0.1231,1,0,High,246.98
26,65000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,14400,9.99,0,0.22,N,3,0.2215,2,0,High,464.58
23,65000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5400,8.9,0,0.08,N,3,0.0831,1,0,High,171.47
23,65000,MORTGAGE,7.0,EDUCATION,A,10000,7.49,0,0.15,N,2,0.1538,1,0,High,311.02
23,65000,MORTGAGE,4.0,EDUCATION,D,13600,15.62,0,0.21,Y,2,0.2092,4,1,High,475.59
21,52000,RENT,0.0,EDUCATION,B,9000,11.83,0,0.17,N,4,0.1731,2,0,Medium,298.2
22,52000,RENT,6.0,PERSONAL,D,9000,14.11,0,0.17,Y,3,0.1731,4,1,Medium,308.08
24,65000,MORTGAGE,7.0,PERSONAL,A,1525,5.42,0,0.02,N,3,0.0235,1,0,High,45.99
24,52800,RENT,2.0,VENTURE,A,9000,7.9,0,0.17,N,2,0.1705,1,0,Medium,281.61
24,52800,RENT,8.0,DEBTCONSOLIDATION,A,9000,7.49,0,0.17,N,4,0.1705,1,0,Medium,279.91
23,53000,RENT,0.0,VENTURE,C,9000,12.09,0,0.17,Y,3,0.1698,3,0,Medium,299.32
23,53664,RENT,1.0,DEBTCONSOLIDATION,B,9000,12.21,0,0.17,N,4,0.1677,2,0,Medium,299.83
23,65000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,7000,8.49,0,0.11,N,3,0.1077,1,0,High,220.94
24,65000,OWN,8.0,PERSONAL,A,6000,6.99,0,0.09,N,2,0.0923,1,0,High,185.24
22,54000,RENT,4.0,DEBTCONSOLIDATION,C,9000,15.96,0,0.17,Y,3,0.1667,3,0,Medium,316.24
26,65000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4000,5.42,0,0.06,N,3,0.0615,1,0,High,120.64
24,65000,MORTGAGE,8.0,PERSONAL,B,10000,11.99,0,0.15,N,4,0.1538,2,0,High,332.1
26,65000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,11500,7.49,0,0.18,N,4,0.1769,1,0,High,357.67
25,48000,RENT,7.0,HOMEIMPROVEMENT,D,9000,15.05,1,0.19,Y,3,0.1875,4,1,Medium,312.21
24,65000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,2000,5.42,0,0.03,N,3,0.0308,1,0,High,60.32
22,59000,MORTGAGE,7.0,HOMEIMPROVEMENT,D,4900,15.62,1,0.08,Y,4,0.0831,4,1,Medium,171.35
25,55000,RENT,9.0,EDUCATION,B,9000,10.99,0,0.16,N,4,0.1636,2,0,Medium,294.61
25,55000,RENT,5.0,HOMEIMPROVEMENT,B,9000,11.11,0,0.16,N,2,0.1636,2,0,Medium,295.12
21,59000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,9.99,1,0.08,N,2,0.0847,2,0,Medium,161.31
24,65000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,5500,5.79,0,0.08,N,3,0.0846,1,0,High,166.8
26,65000,MORTGAGE,3.0,VENTURE,A,10000,7.29,0,0.15,N,3,0.1538,1,0,High,310.1
24,65000,MORTGAGE,8.0,MEDICAL,A,10000,5.79,0,0.15,N,2,0.1538,1,0,High,303.27
24,55000,RENT,2.0,HOMEIMPROVEMENT,C,9000,14.72,0,0.16,Y,2,0.1636,3,0,Medium,310.76
23,65000,MORTGAGE,1.0,PERSONAL,B,10800,10.0,0,0.17,N,4,0.1662,2,0,High,348.49
26,45000,RENT,2.0,DEBTCONSOLIDATION,A,9050,7.29,0,0.2,N,3,0.2011,1,0,Medium,280.64
26,38400,RENT,8.0,VENTURE,D,9100,15.37,0,0.24,Y,2,0.237,4,1,Medium,317.11
23,43200,RENT,2.0,VENTURE,D,9100,13.24,1,0.21,N,2,0.2106,4,1,Medium,307.67
22,57500,RENT,1.0,DEBTCONSOLIDATION,B,9100,11.49,0,0.16,N,4,0.1583,2,0,Medium,300.04
25,65000,MORTGAGE,9.0,PERSONAL,A,5000,7.29,0,0.08,N,4,0.0769,1,0,High,155.05
22,30000,RENT,6.0,MEDICAL,B,9150,10.59,0,0.3,N,2,0.305,2,0,Low,297.79
24,65000,OWN,8.0,EDUCATION,A,9000,7.29,0,0.14,N,4,0.1385,1,0,High,279.09
24,65000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,10000,7.66,0,0.15,N,4,0.1538,1,0,High,311.8
22,65000,MORTGAGE,2.0,VENTURE,B,10000,11.11,0,0.15,N,3,0.1538,2,0,High,327.91
26,29000,RENT,10.0,DEBTCONSOLIDATION,A,9200,7.49,1,0.32,N,3,0.3172,1,0,Low,286.13
21,30000,RENT,6.0,DEBTCONSOLIDATION,A,9200,6.62,1,0.31,N,3,0.3067,1,0,Low,282.47
24,65000,MORTGAGE,7.0,VENTURE,A,6000,5.42,0,0.09,N,3,0.0923,1,0,High,180.96
